Tick #1
Last tick 0 agents died
42/42 players still alive:
Agent #0 at (43.47333324049343, 509.2233360497281), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #1 at (167.71424628573467, 405.0178009331748), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #2 at (183.56446256398348, 623.6831493326699), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #3 at (269.342251446143, 180.80668097823153), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #4 at (513.9558608874468, 407.16724169924316), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #5 at (501.08807251803313, 234.7066553717623), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #6 at (133.74102672770948, 610.6978821085373), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #7 at (50.751672586547926, 548.7558397222908), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #8 at (500.0375715785837, 287.02796985416035), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #9 at (617.5455318377167, 502.8125528588829), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #10 at (435.9948487546073, 139.19480681545517), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #11 at (548.8169604968608, 460.9749698861579), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #12 at (9.90424007364215, 356.34138758396426), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #13 at (375.62690151579346, 290.48816212131914), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #14 at (638.4128997001018, 18.80169249721596), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #15 at (292.9029920155503, 429.21575802906864), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #16 at (350.1119715477064, 411.86928679715237), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #17 at (98.82604843146557, 522.3976616896869), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #18 at (381.54971783379324, 197.56848427266416), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #19 at (504.44977974584975, 384.847457252144), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #20 at (522.0855219016418, 589.9178142328107), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #21 at (606.8358602876799, 315.97507668901034), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #22 at (576.7111558097728, 630.5964382929767), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #23 at (124.94205023967788, 261.75045151316397), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #24 at (527.4733495011702, 435.76398530214357), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #25 at (451.04679811846364, 241.34010534055216), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #26 at (652.5702582134259, 589.3983930373621), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #27 at (196.73546612549902, 634.7245362099848), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #28 at (356.390961731038, 18.447047892067417), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #29 at (540.7043079988679, 202.9009098028067), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #30 at (110.23058455194253, 220.06562720809615), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #31 at (12.33887203780198, 224.7439891799702), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #32 at (609.3459169557456, 99.16282866681347), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #33 at (108.86096059475932, 630.3729469475509), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #34 at (66.30200363097327, 146.48504480746877), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #35 at (552.6692417190446, 652.778761009845), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #36 at (516.7745756213794, 302.85381840287135), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #37 at (593.3652861320995, 478.01686378167545), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #38 at (637.3779859885999, 452.39300086770544), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #39 at (453.0894977096544, 34.66250755978251), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #40 at (469.6322078652801, 279.31887946362184), 100.0/100.0 HP left, Weapon: none, Armor: none
