Tick #1
Last tick 0 agents died
50/50 players still alive:
Agent #11 at (96.17348639739646, 466.8803861189143), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #12 at (410.85332756843405, 16.75874646656466), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #13 at (473.9688313336938, 324.2249184498911), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #14 at (370.6211271844722, 293.50553560537605), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #15 at (191.92130445776004, 168.25838041671662), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #16 at (353.68944891264783, 311.06753790592), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #17 at (67.52552561809917, 346.5234603370822), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #18 at (278.4254383937585, 410.7145521742998), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #19 at (136.7706417449291, 250.69818428750017), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #20 at (79.65543786702473, 291.69265601325407), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #21 at (86.21272035009252, 64.66627275435924), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #22 at (477.42952393735163, 14.179693132098729), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #23 at (68.88963267851535, 424.6087936126145), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #24 at (130.47277511556132, 461.8537403662461), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #25 at (191.60059826446468, 346.8134575401484), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #26 at (421.93637174302364, 277.5854511916449), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #27 at (330.68993220411664, 226.093449246502), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #28 at (8.06390321167468, 214.82832340462272), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #29 at (297.7617107051445, 329.46002820331137), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #30 at (170.61208960608033, 299.5015868621791), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #31 at (464.62421719993677, 486.08877090876695), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #32 at (381.48963428982836, 86.31652664462156), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #33 at (467.51979061760346, 368.04631705104714), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #34 at (281.64345865652973, 461.4004245043489), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #35 at (432.06464897296866, 382.24710302450154), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #36 at (186.28972139693977, 131.95148557904724), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #37 at (374.0806313975438, 21.355968343991233), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #38 at (284.95697637893204, 224.1095109490691), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #39 at (83.69333872006216, 34.54421036603758), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #40 at (174.42569821586682, 205.4370179498289), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #41 at (39.503995707962574, 299.8231583629428), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #42 at (59.745592095940246, 296.99631589498387), 100.0/100.0 HP left, Weapon: Pistol, Armor: none
Agent #43 at (216.86680852464212, 32.2324395697293), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #44 at (413.6389877913434, 13.918450540991877), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #45 at (38.99216646577621, 415.3193064246851), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #46 at (428.7180977621695, 486.3015104539043), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #47 at (242.75541157879007, 9.341958636519594), 100.0/100.0 HP left, Weapon: Shotgun, Armor: none
Agent #48 at (55.67823803323986, 282.20033009023734), 94.0/100.0 HP left, Weapon: none, Armor: none
Agent #49 at (485.5764280971704, 182.59741789298394), 100.0/100.0 HP left, Weapon: none, Armor: none
Tick #3
Last tick 0 agents died
50/50 players still alive:
Agent #0 at (246.20907093132726, 486.8782018575705), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #1 at (325.487605487366, 150.23736910568604), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #2 at (128.21863881640732, 232.9594449317348), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #3 at (100.67561394896546, 242.3253254639316), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #4 at (83.61721627303274, 80.8753400278996), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #5 at (470.05452053883556, 406.560356056678), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #6 at (164.45361023016562, 421.9932526994142), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #7 at (158.14853079334526, 191.28898081655123), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #8 at (153.98798022462032, 84.14539587327029), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #9 at (180.76073478656585, 192.59107873025846), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #10 at (444.8330159927226, 86.99739584969136), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #11 at (94.4533866410524, 467.90080604630947), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #12 at (409.4747516906293, 18.20772146605045), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #13 at (474.8467144165827, 322.42788720565034), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #14 at (370.3078402906503, 295.4808460422845), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #15 at (193.2019526491958, 166.72217072732772), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #16 at (353.2972799692593, 309.1063638902239), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #17 at (69.52407571384812, 346.44731892402825), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #18 at (280.3172445140353, 410.06565341233204), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #19 at (136.33968853688407, 248.74516628131698), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #20 at (79.0818123306076, 293.60862932830054), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #21 at (85.09668020600954, 63.00661785143658), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #22 at (479.2780688506909, 13.416226234736778), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #23 at (67.73015057323363, 426.23839517358925), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #24 at (132.38853474954814, 461.2794015944514), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #25 at (190.72499566519622, 348.61160105170535), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #26 at (423.4550084694212, 278.8868898161049), 94.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #27 at (328.6907780119853, 226.15160864886766), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #28 at (8.497867780388404, 212.87597232115922), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #29 at (299.76118991707915, 329.50566679488867), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #30 at (171.87945802414066, 297.95440319728885), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #31 at (462.6339106155778, 486.2854424630326), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #32 at (382.6538461252067, 84.69030070633225), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #33 at (468.8336543521084, 366.5384171580991), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #34 at (282.50399387348614, 463.2058272683818), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #35 at (431.2701854400206, 380.4116663748686), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #36 at (185.37269195443162, 130.17411195440522), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #37 at (372.0818452699492, 21.425639113582868), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #38 at (283.5261120973473, 222.71214649851046), 96.0/100.0 HP left, Weapon: none, Armor: none
